Name,player_id,year,ab,k_percent,bb_percent,xba,xslg,xwoba,xwobacon,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,team_abbrev,xhr,xhr_rate,PC1,PC2,PC3,PC4
"Alzolay, Adbert",640470,2024,68,17.3,8.0,0.292,0.549,0.389,0.442,40.0,16.4,5.5,23.6,25.5,29.1,0.0,38.2,94.499834727,67.3,14.9,29.1,38.5,CHC,6.6,0.09705882352941175,5.097655506543362,-1.4422492238095634,-0.6642743241720266,0.8047821925753378
"Speier, Gabe",642100,2024,84,31.7,13.5,0.196,0.306,0.283,0.341,23.6,7.3,1.8,23.6,36.4,25.5,5.5,36.4,93.482290566,67.0,22.1,27.9,50.8,SEA,1.6,0.01904761904761905,-3.537485029729325,-1.321121922301439,0.08944703862498717,1.5678394582760777
"Hughes, Brandon",676714,2024,76,23.6,11.2,0.308,0.694,0.454,0.572,46.4,21.4,5.4,23.2,23.2,19.6,7.1,41.1,94.675940893,65.2,20.4,28.6,43.6,AZ,7.8,0.10263157894736842,7.920162456509691,-3.3540617040702783,0.2969774678559511,1.685593208623025
"Kirby, George",669923,2024,740,23.0,3.0,0.236,0.396,0.288,0.357,30.5,8.1,5.8,21.7,27.8,33.1,3.3,36.3,93.753520357,73.2,17.9,31.9,39.3,SEA,21.7,0.029324324324324323,-0.9813080858397155,-0.3087410022495293,-0.6131516533365573,-1.6471773216474712
"Corbin, Patrick",571578,2024,697,18.2,7.1,0.295,0.473,0.357,0.412,37.3,8.3,7.7,28.5,18.7,31.9,4.4,46.7,95.30570991,69.1,12.6,29.8,42.5,WSH,22.9,0.03285509325681492,3.2539293669087876,1.2949728450157905,1.1518869752618228,-1.2169193955780664
"Leone, Dominic",608678,2024,73,19.1,15.7,0.269,0.456,0.37,0.406,34.5,10.3,5.2,22.4,13.8,44.8,3.4,34.5,93.09394,67.6,24.0,31.0,59.1,CWS,3.1,0.04246575342465753,0.5744274079807158,0.5202354291955337,1.1614361408005636,1.7718538836752948
"Little, Luke",681432,2024,86,25.7,16.5,0.188,0.272,0.295,0.292,15.3,3.4,3.4,20.3,13.6,52.5,6.8,40.7,93.68350431,50.9,14.7,21.4,54.2,CHC,1.5,0.01744186046511628,-4.418948748500921,4.555107820423264,1.3623132584055333,5.222168274140172
"Soriano, José",667755,2024,407,20.7,9.6,0.242,0.369,0.314,0.347,28.5,6.6,7.3,21.2,12.3,49.1,3.2,44.3,94.75069,64.7,13.4,29.3,43.7,LAA,7.7,0.01891891891891892,-0.4406798064802263,3.066568951501866,1.6886967446906072,0.9373105662023811
"Lodolo, Nick",666157,2024,437,24.7,7.5,0.226,0.356,0.299,0.345,32.6,8.2,5.7,22.5,25.9,33.2,4.4,38.0,94.164027252,62.6,18.0,30.2,49.1,CIN,10.2,0.02334096109839817,-1.4234559118474006,0.3003417068442626,0.6252529531865302,0.28872736245043684
"Glasnow, Tyler",607192,2024,484,32.2,6.7,0.195,0.324,0.254,0.342,32.5,8.5,5.0,21.1,23.3,36.6,4.7,40.1,94.139426422,66.7,19.7,27.3,62.6,LAD,12.5,0.025826446280991736,-2.7651621057899605,-0.47403535816208175,2.061473696729569,0.6266024444921879
